id,sexo,idade,pergunta1,pergunta2,pergunta3,street1,street2,street3,street4,street5,street6,street7,street8,street9,street10,data_inicio,data_fim,duracao,duracao1,duracao2,duracao3,duracao4,duracao5,duracao6,duracao7,duracao8,duracao9,duracao10,data_criado,soma_poi
11,Masculino,18-24,SIM,SIM,7,Bar do Cuscuz,Praça próxima ao terminal de integração ,Centro de CG,Escola Municipal localizada em Bodocongó,"Aço Brasil, próximo à UFCG",Distrito dos mecânicos,"Igreja baptista, próximo à praça dos hippies no centro de CG","UPA, próximo ao Atacadão","Posto Feliz, próximo ao shopping luiza motta
","Polícia Federal, próximo ao shopping",2019-09-23 09:37:14,2019-09-23 09:44:18,00:04:15,00:00:11,00:00:24,00:00:24,00:00:24,00:00:23,00:00:43,00:00:22,00:00:27,00:00:31,00:00:26,2019-09-23 12:44:18,20
12,Masculino,18-24,SIM,SIM,4,"No centro da cidade, ao lado do bar do cuscuz, perto do açude","Integração, no centro da cidade, perto do parque do povo","No centro da cidade, seguindo reto na parte do açude, indo em direção a praça da bandeira
","nao sei
",em frente ao supermercado germanno,,"no centro da cidade, perto da praça da bandeira
",em frente a upa,"do lado do luiza motta, no catole, em frente ao posto feliz","na rua do shopping partage, saindo de campina em direção a joao pessoa, em frente a policia federal",2019-09-23 09:37:21,2019-09-23 09:44:43,00:06:35,00:01:18,00:00:36,00:01:06,00:00:14,00:01:12,00:00:18,00:00:39,00:00:13,00:00:19,00:00:40,2019-09-23 12:44:43,20
13,Masculino,18-24,SIM,SIM,6,Ao lado do Açude Velho,Próximo ao Açude Novo e o Terminal da Integração,"Centro da cidade, proximo ao Açude Velho",Jeremias,Avenida proxima à UFCG,"Bairro Cruzeiro
","Próximo à praça dos Hippies, em frente à Igreja Batista","Próximo à saída de Campina Grande pela avenida Manoel Tavares, em frente à UPA.","Catolé, ao lado do Shopping Luiza Motta.","Avenida do Shopping Partage, em frente à delegacia da Polícia Federal",2019-09-23 09:36:20,2019-09-23 09:44:44,00:07:48,00:00:20,00:00:23,00:01:22,00:00:45,00:00:28,00:01:58,00:00:32,00:00:41,00:00:46,00:00:33,2019-09-23 12:44:44,17
14,Masculino,18-24,SIM,SIM,6,Açude Velho,Terminal de integração,Centro,,Avenida que dá acesso do Centro à UFCG,,Praça da bandeira,Saida de campina grande,"Catoĺe - shopping luiza mota
",Entrada de campina grande - Shopping partage,2019-09-23 09:36:20,2019-09-23 09:44:59,00:05:37,00:00:16,00:00:21,00:00:45,00:00:40,00:01:00,00:00:44,00:00:42,00:00:18,00:00:27,00:00:24,2019-09-23 12:44:59,10
15,Feminino,18-24,SIM,SIM,5,"em frente ao açude, pega a esquerda no dinal de quem vem da feira no centro","em frente ao predio comercial que fica colado com o teatro, um pouco antes da integração, em frente a CLIPSI","antes da marçonaria, do lado de 'feitosa imoveis'","perto do canal de bodocongó, uma escola municipal, do lado de um fiteiro","antes da ufcg, em frente ao mercadinho do germano, um prédio na esquina que não é pintado","portas amarelo com azul, proximo a oficina quatro rodas","de frente a praça clementino procopio, do lado do laboratorio PAULISTA, igreja verde de esquina","em frente ao campina grill, depois do atacadão",em frente ao luiza motta,"um pouco antes da entrada do shopping da avenida brasilia, na mesma calçada do extra, antes da fiat",2019-09-23 09:36:23,2019-09-23 09:45:59,00:07:43,00:00:51,00:01:00,00:00:48,00:01:54,00:00:38,00:00:33,00:00:42,00:00:17,00:00:18,00:00:42,2019-09-23 12:45:59,25
16,Masculino,18-24,SIM,SIM,2,"Bar do cuscuz, fica no redor do açude velho.","Praça da integração, perto da saida na esquina que sobe a rua principal do centro.","Na esquina do Lins Imoveis, boa sorte pra achar, nunca andei por lá não.",Em frente a escola Manoel Francisco da Motta,"No mercantil de Germano, tu pega a avenida da ufcg via centro, vira a esquerda depois do posto que fica ali quase em frente a uf, depois vira a direita e segue reto, ai tu vai passar em frente ao mercantil, é pertinho.","Sei nem se to em Campina Grande, boa sorte.","Naquela praça em frente a praça da bandeira, onde fica as barraquinha que arruma celular e tal",Na UPA Dr Raimundo Maia de Oliveira,No shopping Luiza Mota,Na policia federal em frente a loja da nissan,2019-09-23 09:37:15,2019-09-23 09:46:08,00:07:31,00:00:35,00:00:31,00:00:56,00:00:33,00:01:41,00:00:47,00:00:41,00:00:53,00:00:19,00:00:35,2019-09-23 12:46:08,19
17,Masculino,18-24,SIM,SIM,5,"bar do cuscuz, açude",parque da criança,não sei,não sei,"mercadinho germano, próximo à ufcg e à fofex",não sei,"centro de campina grande, proximo ao cirne center",não sei,shopping luiza motta,"br 230, entrada de campina grande, próximo ao partage",2019-09-23 09:39:40,2019-09-23 09:46:28,00:05:46,00:00:13,00:00:10,00:00:14,00:01:02,00:00:30,00:01:44,00:00:29,00:00:35,00:00:23,00:00:26,2019-09-23 12:46:28,13
18,Masculino,18-24,SIM,NÃO,5,"Bar do cuscuz, em frente ao Açude Velho","Integração, próximo ao Parque do Povo e do Maanaim Center",,Em frente à Escola Municipal Manoel Francisco da Motta,"Em frente à Aço Brasil, próximo ao supermercado do Germano, na rua de acesso à UFCG",Faço a mínima idéia,"Praça dos hippie no centro da cidade, próximo à um estacionamento","UPA, localizada no Alto Branco, próximo ao Atacadão",,"Delegacia da Polícia Civil, em frente à uma concessionária da Nissan e próximo à um posto Ypiranga",2019-09-23 09:37:38,2019-09-23 09:47:03,00:08:50,00:00:32,00:01:15,00:01:03,00:00:46,00:00:41,00:00:35,00:01:22,00:00:38,00:00:51,00:01:07,2019-09-23 12:47:03,18
19,Masculino,18-24,SIM,SIM,2,"to aqui no açude velho, na frente do bar do cuscuz","to perto da integração, tem uma placa escrito ""jesus salvador"" bem grande",to perto da top fit,"to na frente de uma escola municipal, acho que to perto do açude do bodocongó também","To aqui no germano po, um mercadinho verde, relativamente perto da ufcg","to perto de um ferro velho, sucata campinense o nome, e de um posto de gasolina
","to no centro, de frente pra primeira igreja batista, é verde","no aqui na upa, é perto de um prédio grande, amarelo","to no luiza motta, é perto do postos feliz","to na saída de campina, perto de umas lojas de carro da jeep, fiat, nissan
",2019-09-23 09:36:18,2019-09-23 09:48:03,00:09:37,00:00:41,00:01:36,00:00:46,00:01:37,00:00:29,00:01:25,00:00:37,00:00:44,00:00:41,00:01:01,2019-09-23 12:48:03,21
20,Masculino,18-24,SIM,SIM,3,"Perto do açude velho, em frente ao bar do cuscuz","próximo à integração, em frente ao maanaim center, próximo ao Jesus o Salvador",perto do estacionamento LiraPark e academia TopFit,Em frente à escola municipal manoel francisco da motta,em frente ao supermercado Germano,"em frente à RV peças e acessórios, loja amarela com azul. rua parelala ao Posto Distrito","Em frente à igreja batista, prédio verde da Rua Vidal de Negreiros",Do outro lado da UPA Dr. Raimundo Maia de Oliveira que fica próximo ao Atacadão,Posto de esquina que tem o nome Postos Feliz do outro lado do shopping Luiza Motta,"Em frente à PF, do outro lado da Nissan",2019-09-23 09:36:22,2019-09-23 09:48:45,00:10:56,00:00:56,00:01:59,00:01:46,00:00:23,00:00:25,00:01:37,00:01:03,00:01:12,00:00:44,00:00:51,2019-09-23 12:48:45,19
21,Masculino,18-24,SIM,SIM,4,Bar do Cuscuz que fica de frente ao açude velho e próximo do Museu da Arte Popular ,Fica próximo do parque do povo perto do terminal da integração ,Fica ao lado da Feitosa Imoveis ,Nunca nem ,Em frente ao mercado do Germano e próximo da Fofex,"Fica próximo da Sucata Campinense, ao chegar em frente a Sucata, seguir em frente e dobra na rua a direita ","Fica na praça Clementino Procópio, ao lado da pipoca caçados ","Fica em frente a Campina Grill, próximo do Atacadão",Fica próximo do Shopping Motta ,Fica ao lado da Jeep,2019-09-23 09:36:23,2019-09-23 09:49:00,00:11:11,00:01:39,00:01:10,00:00:46,00:02:12,00:00:31,00:01:25,00:01:04,00:00:37,00:00:57,00:00:50,2019-09-23 12:49:00,15
22,Masculino,18-24,SIM,SIM,5,no bar do cuscuz em frente ao açude novo,"descendo na integração em direção ao parque do povo, perto da clipse","perto da rua que chega no centro, antes do lira perk",na escola municipal manoel francisco da motta,no supermercado germano material de construção,perto de uma oficina quatro rodas e de um vinicius uchoa oxigenio,descendo a praça q tem os hippies onde tem uma igreja verde e o hotel nord,na upa em frente ao campina grill,no posto em frente ao luiza motta,"por tras do shopping na policia federal, onde tem umas concessionarias ",2019-09-23 09:36:19,2019-09-23 09:49:15,00:10:27,00:00:40,00:01:09,00:01:54,00:00:42,00:01:13,00:01:13,00:01:08,00:00:48,00:00:37,00:01:03,2019-09-23 12:49:15,22
23,Masculino,18-24,SIM,SIM,5,em frente ao bar do cuscuz do lado do açude velho,em frente ao maanaim perto da entrada da integraçao,em frente a um estacionamento rotativo um pouco antes do lira park,"em frente a escola manoel francisco da motta perto de um residencial san patrick que esta sendo contruido
",em frente ao supermercado do germano na subida do posto petrobars com a ufcg,"perto da oficina quatro rodas
",em frente a igreja baptista perto do coreta da praca do centro,"em  frente a upa 24 hr perto do campina grill
","em frente ao posto feliz do lado do luisa motta
","em frente a poliucia federal indo pro partage
",2019-09-23 09:36:24,2019-09-23 09:49:20,00:10:03,00:00:45,00:01:21,00:01:53,00:01:40,00:01:00,00:00:43,00:00:38,00:00:25,00:01:10,00:00:28,2019-09-23 12:49:20,21
24,Masculino,18-24,SIM,SIM,0,Na entrada do bar do cuzcuz na lagoa,Na frente de uma central de lojas do lado da integração,Em frente ao estacionamento rotativo do lado da Feitosa Imóveis,Em frente à escola municipal Manoel Francisco da Motta,Na rua em frente ao supermercado germano e ao açobrazil,,Em frente à igreja batista da Praça Clementino Procópio,Em frente à UPA24H,Em frente ao posto de gasolina do cruzamento da rua João Quirino com a Rua Vigario Calixto,Em frente à polícia federal,2019-09-23 09:39:44,2019-09-23 09:49:40,00:09:03,00:00:50,00:01:01,00:00:57,00:00:39,00:01:16,00:01:25,00:00:35,00:01:05,00:00:44,00:00:31,2019-09-23 12:49:40,16
25,Masculino,18-24,SIM,SIM,2,Bar do Cuscuz em frente ao Açude Velho,Avenida próxima ao terminal da Integração,Não sei informar o local,"Em frente a escola municiapal m,anoel francismo da motta, rua de paralelepidedo","avenida da UFCG, próximo ao mercado do Germano",Próximo a Sucata Campinense,"Em frente a Igreja Baptista, centro da cidade, próximo à Praça da Bandeira",Em frente a UPA Dr Raimunda Maia de Oliveira que fica em frente ao Campina Grill,"Bairro do Catolé, próximo ao Shopping Luiza Motta e ao Postos Feliz","Avenida do Partage Shopping, em frente a Nissan e a Policia Federal",2019-09-23 09:36:20,2019-09-23 09:49:40,00:11:17,00:00:42,00:00:59,00:01:21,00:01:54,00:00:31,00:01:29,00:01:11,00:00:57,00:01:07,00:01:06,2019-09-23 12:49:40,20
26,Masculino,18-24,SIM,NÃO,5,o bar é de frente ao açude velho .,Entre a integração e o parque do povo ,em um lugar com um triangulo com um monumento de cubo ,em algum bairro de residencias de frente a escola municipal manoel francisco da motta,Em uma ladeira de frente ao super mercado germano e uma empresa chamada aço brasil ,"Em uma rua com várias garagens proximo a oficina quatro rodas e a sucata campinense
Quando estiver chegando tem uma placa apontado para a rua dizendo: "" Vinicius Uchoa Oxigenio""","de frente para a igreja batista e uma praça arborizada.
estou proximo a uma esquina onde tem uma banca de jornal",de frente ao restaurante campina grill e a upa ,numa esquina tem um posto dizendo postos feliz e uma lugar bastante grande com outdoors,de frente para a concessionaria da nissan e a policia federal,2019-09-23 09:36:18,2019-09-23 09:49:47,00:10:45,00:01:53,00:00:28,00:00:55,00:00:53,00:00:51,00:02:03,00:01:19,00:00:33,00:00:53,00:00:57,2019-09-23 12:49:47,16
